unique_gauge_id,longitude,latitude,HYBAS_ID,NEXT_DOWN,UP_AREA,SUB_AREA,continent,provider,data_source,is_hybas_entry,assigned,generous,rp2,rp5,file_present_all_null,f1_of_record,has_metric_file
GRDC_1597100,31.525,-26.040556,1121600610,1121599280,205.2,205.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1597200,31.394444,-25.805556,1122274700,1122274670,688.9,143.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
DWS_X1H006,31.39312,-25.78029,1122274700,1122274670,688.9,143.1,AFRICA,22,South_Africa_metadata,False,True,False,False,False,False,,False
GRDC_1598001,32.041667,-26.175,1122276480,1121600990,3089.1,187.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1898501,32.116389,-26.196667,1122276480,1121600990,3089.1,187.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598002,31.876667,-26.163333,1121601370,1121601690,2378.7,102.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1598100,31.9,-26.138611,1121601370,1121601690,2378.7,102.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598003,31.196389,-26.214722,1122276830,1122276760,289.0,149.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598010,31.196389,-26.214722,1122276830,1122276760,289.0,149.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598020,31.5275,-26.381667,1122277090,1122276860,325.9,140.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598110,31.873333,-26.128056,1121601360,1121601370,1250.7,92.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598120,31.838889,-26.1,1122276100,1121601360,1158.6,76.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598130,31.820278,-26.087778,1122276100,1121601360,1158.6,76.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1598200,31.958333,-26.128056,1121601280,1121601690,126.7,126.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1599001,31.68,-26.69,1121606640,1121606880,12965.8,77.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1599100,31.680833,-26.686667,1121606640,1121606880,12965.8,77.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
